REF. OBJET;PERIODE;PRIME ;PUISS.OBJET;MARQUE.OBJET;USAGE;VALEUR ASSURE;AGE.CONDUCTEUR;AGE.OBJET;SINISTRALITE;NATURE.SIN;DATE.SIN;MONTANT REMBOURSE;SIN.2021
1433TU221;364;1 139 041;10;DONGFENG;3;66 000 000;22;1;0;;;0;0
77TU195;364;1 066 740;4;RENAULT;1;25 000 000;32;5;0;;;0;0
7297TU170;180;349 389;6;PEUGEOT;3;8 000 000;32;10;0;;;0;0
1094TU221;364;2 356 431;4;VOLKSWAGEN;1;52 480 000;30;1;0;;;0;0
9183TU214;364;2 161 245;5;KIA;1;48 000 000;52;2;0;;;0;0
4260TU130;364;390 452;1;RENAULT;5;10 000 000;64;14;0;;;0;0
1184TU220;364;2 144 841;4;KIA;1;44 000 000;32;1;0;;;0;0
8998TU90;364;566 492;4;FIAT;1;10 000 000;32;23;0;;;0;0
343TU74;180;344 073;6;PEUGEOT;1;8 000 000;14;27;0;;;0;0
5199TU170;180;327 339;10;MITSUBISHI;3;8 000 000;9;8;1;BG;20/06/2021;342 000;1
3077TU111;364;480 603;7;PEUGEOT;3;8 000 000;61;18;0;;;0;0
4354TU85;180;297 116;4;CITROEN;1;10 000 000;31;24;0;;;0;0
1306TU148;180;368 496;7;BMW;1;10 000 000;46;12;0;;;0;0
7745TU116;364;399 086;5;RENAULT;1;12 000 000;41;17;0;;;0;0
3728TU68;180;315 816;5;FIAT;1;10 000 000;37;30;0;;;0;0
9743TU100;180;345 516;8;VOLKSWAGEN;1;10 000 000;48;11;0;;;0;0
1390TU221;364;1 732 222;6;SEAT;1;66 980 000;32;1;0;;;0;0
6799TU60;180;345 333;8;RENAULT;3;8 000 000;36;34;0;;;0;0
1968TU103;180;409 849;7;RENAULT;3;8 000 000;49;20;0;;;0;0
467TU202;180;511 928;5;KIA ;1;30 000 000;42;4;0;;;0;0
7560TU48;180;513 234;10;ISUZU;3;20 000 000;66;22;0;;;0;0
9847TU154;364;923 386;13;MITSUBISHI;2;20 000 000;56;17;0;;;0;0
4268TU83;180;315 596;4;VOLKSWAGEN;1;10 000 000;35;25;0;;;0;0
